geneID,geneName
FBgn0031170,ABCA
FBgn0086346,ALiX
FBgn0022710,Ac13E
FBgn0000667,Actn
FBgn0029791,AdamTS-B
FBgn0000152,Axs
FBgn0052698,CARPB
FBgn0259231,CCKLR-17D1
FBgn0039094,CG10184
FBgn0039108,CG10232
FBgn0038394,CG10264
FBgn0039109,CG10365
FBgn0032817,CG10631
FBgn0031159,CG11566
FBgn0031115,CG11710
FBgn0039831,CG12054
FBgn0030798,CG13003
FBgn0038961,CG13850
FBgn0031023,CG14200
FBgn0032023,CG14274
FBgn0029851,CG14445
FBgn0031183,CG14621
FBgn0031169,CG1494
FBgn0031100,CG1504
FBgn0032669,CG15155
FBgn0040651,CG15458
FBgn0029746,CG15465
FBgn0029864,CG15894
FBgn0030030,CG1636
FBgn0031116,CG1695
FBgn0040571,CG17193
FBgn0031164,CG1724
FBgn0032668,CG17681
FBgn0028480,CG17841
FBgn0040696,CG18675
FBgn0051038,CG31038
FBgn0051140,CG31140
FBgn0051145,CG31145
FBgn0051176,CG31176
FBgn0052521,CG32521
FBgn0052532,CG32532
FBgn0052533,CG32533
FBgn0052536,CG32536
FBgn0052603,CG32603
FBgn0052686,CG32686
FBgn0267253,CG32700
FBgn0052750,CG32750
FBgn0052751,CG32751
FBgn0053172,CG33172
FBgn0053203,CG33203
FBgn0085354,CG34325
FBgn0085382,CG34353
FBgn0085383,CG34354
FBgn0261444,CG3638
FBgn0029824,CG3726
FBgn0250862,CG42237
FBgn0259222,CG42322
FBgn0259677,CG42346
FBgn0260871,CG42581
FBgn0030747,CG4301
FBgn0025632,CG4313
FBgn0263706,CG43658
FBgn0264090,CG43759
FBgn0265595,CG44422
FBgn0265629,CG44437
FBgn0035981,CG4452
FBgn0266354,CG45002
FBgn0266434,CG45064
FBgn0266435,CG45065
FBgn0284227,CG46311
FBgn0260748,CG5004
FBgn0030828,CG5162
FBgn0038803,CG5191
FBgn0038704,CG5316
FBgn0030838,CG5445
FBgn0032670,CG5783
FBgn0039027,CG7031
FBgn0030968,CG7322
FBgn0037547,CG7910
FBgn0030997,CG7990
FBgn0035260,CG7991
FBgn0031011,CG8034
FBgn0031012,CG8051
FBgn0030660,CG8097
FBgn0030684,CG8260
FBgn0030837,CG8661
FBgn0030836,CG8664
FBgn0030834,CG8675
FBgn0030710,CG8924
FBgn0030688,CG8952
FBgn0030592,CG9514
FBgn0031089,CG9572
FBgn0039759,CG9733
FBgn0039597,CG9997
FBgn0264386,Ca-alpha1T
FBgn0013995,Calx
FBgn0028360,Cdc7
FBgn0035767,Cln7
FBgn0263257,Cngl
FBgn0261573,CoRest
FBgn0036278,CrzR
FBgn0030949,Cyp308a1
FBgn0260003,Dys
FBgn0030597,Eo
FBgn0262740,Evi5
FBgn0038827,Fancd2
FBgn0024238,Fim
FBgn0264078,Flo2
FBgn0004509,Fur1
FBgn0262869,Gfrl
FBgn0027287,Gmap
FBgn0045502,Gr10a
FBgn0030685,Graf
FBgn0029830,Grip
FBgn0031107,HERC2
FBgn0263025,HSPBAP1
FBgn0030674,HUWE1
FBgn0052529,Hers
FBgn0026418,Hsc70Cb
FBgn0086613,Ino80
FBgn0032671,JMJD4
FBgn0040309,Jafrac1
FBgn0004379,Klp67A
FBgn0051072,Lerp
FBgn0025390,Mur2B
FBgn0019957,ND-42
FBgn0039609,Nepl17
FBgn0015773,NetA
FBgn0015774,NetB
FBgn0038975,Nrx-1
FBgn0031145,Ntf-2
FBgn0031110,Obp19b
FBgn0038653,Octalpha2R
FBgn0030298,Or10a
FBgn0039551,Or98a
FBgn0260753,Pdfr
FBgn0027621,Pfrx
FBgn0259680,Pkcdelta
FBgn0023177,Pp4-19C
FBgn0030964,Pvf1
FBgn0024941,RSG7
FBgn0031051,Ranbp21
FBgn0030801,Rcp
FBgn0030808,RhoGAP15B
FBgn0261461,RhoGAP18B
FBgn0031118,RhoGAP19D
FBgn0026181,Rok
FBgn0030687,RpIIIC160
FBgn0030616,RpL37a
FBgn0010412,RpS19a
FBgn0083981,RunxA
FBgn0259162,RunxB
FBgn0283473,S6KL
FBgn0051163,SKIP
FBgn0264357,SNF4Agamma
FBgn0029768,SPR
FBgn0025391,Scgdelta
FBgn0041184,Socs36E
FBgn0045073,Stim
FBgn0030365,Tango4
FBgn0035505,Teh2
FBgn0267001,Ten-a
FBgn0011837,Tis11
FBgn0021796,Tor
FBgn0086674,Tpst
FBgn0040068,Vav
FBgn0265262,Vha68-1
FBgn0028664,VhaM9.7-c
FBgn0024273,WASp
FBgn0085478,Zdhhc8
FBgn0000028,acj6
FBgn0039598,aqrs
FBgn0266276,asRNA:CR44961
