geneID,geneName
FBgn0262301,mir-979
FBgn0259221,ATP8A
FBgn0022710,Ac13E
FBgn0000042,Act5C
FBgn0000667,Actn
FBgn0028343,Ankle2
FBgn0004854,B-H2
FBgn0025463,Bap60
FBgn0265598,Bx
FBgn0052698,CARPB
FBgn0039088,CG10164
FBgn0039093,CG10183
FBgn0039109,CG10365
FBgn0038395,CG10407
FBgn0039249,CG11168
FBgn0031159,CG11566
FBgn0036221,CG11588
FBgn0030551,CG11674
FBgn0039252,CG11771
FBgn0030052,CG12065
FBgn0030065,CG12075
FBgn0031022,CG12204
FBgn0039131,CG12268
FBgn0029930,CG12541
FBgn0031190,CG12576
FBgn0035481,CG12605
FBgn0030952,CG12609
FBgn0030721,CG12698
FBgn0030829,CG12998
FBgn0030794,CG13005
FBgn0014417,CG13397
FBgn0039224,CG13634
FBgn0030981,CG14191
FBgn0031023,CG14200
FBgn0031065,CG14234
FBgn0038632,CG14301
FBgn0030581,CG14408
FBgn0031163,CG14579
FBgn0030361,CG1492
FBgn0031100,CG1504
FBgn0030161,CG15249
FBgn0030077,CG15365
FBgn0029746,CG15465
FBgn0039752,CG15530
FBgn0030409,CG15728
FBgn0030390,CG15731
FBgn0031101,CG1631
FBgn0038719,CG16727
FBgn0039897,CG1674
FBgn0031098,CG17068
FBgn0039167,CG17786
FBgn0030163,CG1791
FBgn0051145,CG31145
FBgn0051191,CG31191
FBgn0051345,CG31345
FBgn0052017,CG32017
FBgn0052264,CG32264
FBgn0285970,CG32500
FBgn0052532,CG32532
FBgn0052547,CG32547
FBgn0267253,CG32700
FBgn0052750,CG32750
FBgn0053125,CG33125
FBgn0053483,CG33483
FBgn0034989,CG3356
FBgn0054027,CG34027
FBgn0250825,CG34241
FBgn0029824,CG3726
FBgn0259145,CG42260
FBgn0259163,CG42268
FBgn0259223,CG42323
FBgn0260868,CG42578
FBgn0260971,CG42594
FBgn0030747,CG4301
FBgn0262609,CG43135
FBgn0030456,CG4332
FBgn0263216,CG43386
FBgn0028481,CG4341
FBgn0263706,CG43658
FBgn0263772,CG43689
FBgn0263994,CG43737
FBgn0039078,CG4374
FBgn0264090,CG43759
FBgn0264449,CG43867
FBgn0264503,CG43902
FBgn0266100,CG44837
FBgn0266439,CG45069
FBgn0284236,CG46320
FBgn0030790,CG4768
FBgn0030792,CG4789
FBgn0025336,CG4882
FBgn0030838,CG5445
FBgn0032666,CG5758
FBgn0030914,CG6106
FBgn0038332,CG6136
FBgn0038720,CG6231
