geneID,geneName
FBgn0020238,14-3-3epsilon
FBgn0004907,14-3-3zeta
FBgn0250848,26-29-p
FBgn0260793,2mit
FBgn0004168,5-HT1A
FBgn0263116,5-HT1B
FBgn0087012,5-HT2A
FBgn0261929,5-HT2B
FBgn0004573,5-HT7
FBgn0019643,AANAT1
FBgn0034428,AANATL6
FBgn0031170,ABCA
FBgn0039890,ABCD
FBgn0033246,ACC
FBgn0040509,ACXB
FBgn0026573,ADD1
FBgn0250816,AGO3
FBgn0052626,AMPdeam
FBgn0030089,AP-1gamma
FBgn0052707,APC4
FBgn0029879,APC7
FBgn0034606,ASPP
FBgn0030343,ATP7
FBgn0259221,ATP8A
FBgn0020236,ATPCL
FBgn0019644,ATPsynB
FBgn0028342,ATPsyndelta
FBgn0000015,Abd-B
FBgn0000017,Abl
FBgn0022710,Ac13E
FBgn0004852,Ac76E
FBgn0024150,Ac78C
FBgn0012034,AcCoAS
FBgn0000024,Ace
FBgn0033936,Achl
FBgn0263998,Ack-like
FBgn0011559,Acp36DE
FBgn0020765,Acp65Aa
FBgn0000042,Act5C
FBgn0000667,Actn
FBgn0263738,Ada2a
FBgn0286071,AdamTS-A
FBgn0029791,AdamTS-B
FBgn0036142,Adck5
FBgn0036337,AdenoK
FBgn0284249,Adf1
FBgn0038173,Adgf-C
FBgn0038172,Adgf-D
FBgn0039747,AdoR
FBgn0036043,Ae2
FBgn0029813,AgmNAT
FBgn0025595,AkhR
FBgn0028962,AlaRS-m
FBgn0000064,Ald1
FBgn0010548,Aldh-III
FBgn0038552,Alg1
FBgn0037108,Alg11
FBgn0261238,Alh
FBgn0040505,Alk
FBgn0035619,Alp10
FBgn0035620,Alp9
FBgn0032536,Ance-3
FBgn0261788,Ank2
FBgn0028343,Ankle2
FBgn0025111,Ant2
FBgn0260642,Antp
FBgn0030749,AnxB11
FBgn0000083,AnxB9
FBgn0015589,Apc
FBgn0040281,Aplip1
FBgn0032136,Apoltp
FBgn0000108,Appl
FBgn0036111,Aps
FBgn0033928,Arc2
FBgn0038893,Archease
FBgn0037526,ArgRS-m
FBgn0000116,Argk
FBgn0032076,Argl
FBgn0038576,Arp5
FBgn0000120,Arr1
FBgn0033062,Ars2
FBgn0039908,Asator
FBgn0015591,AstA
FBgn0032336,AstC
FBgn0036790,AstC-R1
FBgn0036789,AstC-R2
FBgn0032691,Atac2
FBgn0052343,Atac3
FBgn0028550,Atf3
FBgn0033010,Atf6
FBgn0260945,Atg1
FBgn0036255,Atg12
FBgn0037363,Atg17
FBgn0044452,Atg2
FBgn0029943,Atg5
FBgn0012042,AttA
FBgn0013751,Awh
FBgn0026597,Axn
FBgn0011758,B-H1
FBgn0004854,B-H2
FBgn0023407,B4
FBgn0004587,B52
FBgn0034519,BORCS7
FBgn0260960,Baldspot
FBgn0030093,Bap111
FBgn0025463,Bap60
FBgn0038857,Bdbt
FBgn0260860,Bet5
FBgn0000182,BicC
FBgn0024491,Bin1
FBgn0035625,Blimp-1
FBgn0000216,Brd
FBgn0038499,Brf
FBgn0003502,Btk29A
FBgn0032600,BuGZ
FBgn0265598,Bx
FBgn0004863,C15
FBgn0259228,C3G
FBgn0027844,CAH1
FBgn0039838,CAH6
FBgn0039486,CAH9
FBgn0033504,CAP
FBgn0029962,CARPA
FBgn0052698,CARPB
FBgn0013759,CASK
FBgn0039396,CCAP-R
FBgn0036219,CCDC151
FBgn0050106,CCHa1-R
FBgn0038147,CCHa2
FBgn0033058,CCHa2-R
FBgn0259231,CCKLR-17D1
FBgn0032444,CCT4
FBgn0039774,CDase
FBgn0037972,CG10005
FBgn0039590,CG10011
FBgn0032785,CG10026
FBgn0036369,CG10089
FBgn0032798,CG10132
FBgn0039088,CG10164
FBgn0039091,CG10182
FBgn0039093,CG10183
FBgn0039094,CG10184
FBgn0038397,CG10185
FBgn0033971,CG10209
FBgn0032685,CG10211
FBgn0032783,CG10237
FBgn0027514,CG1024
FBgn0039107,CG10300
FBgn0038420,CG10311
FBgn0032690,CG10333
FBgn0032707,CG10348
FBgn0030348,CG10352
FBgn0030349,CG10353
FBgn0030358,CG10362
FBgn0039109,CG10365
FBgn0032699,CG10383
FBgn0038395,CG10407
FBgn0032815,CG10462
FBgn0032819,CG10463
FBgn0035656,CG10479
FBgn0032827,CG10481
FBgn0035649,CG10483
FBgn0032748,CG10492
FBgn0037059,CG10510
FBgn0034570,CG10543
FBgn0030034,CG10555
FBgn0035630,CG10576
