geneID,geneName
FBgn0259221,ATP8A
FBgn0263738,Ada2a
FBgn0028343,Ankle2
FBgn0031298,Atg4a
FBgn0039774,CDase
FBgn0039088,CG10164
FBgn0039093,CG10183
FBgn0039108,CG10232
FBgn0039109,CG10365
FBgn0038395,CG10407
FBgn0039927,CG11155
FBgn0039249,CG11168
FBgn0036221,CG11588
FBgn0039252,CG11771
FBgn0039627,CG11837
FBgn0039633,CG11873
FBgn0014427,CG11899
FBgn0039831,CG12054
FBgn0039131,CG12268
FBgn0035481,CG12605
FBgn0014417,CG13397
FBgn0038929,CG13408
FBgn0039224,CG13634
FBgn0038632,CG14301
FBgn0037819,CG14688
FBgn0037942,CG14721
FBgn0038242,CG14852
FBgn0029746,CG15465
FBgn0039752,CG15530
FBgn0038606,CG15803
FBgn0038719,CG16727
FBgn0039897,CG1674
FBgn0250841,CG17242
FBgn0039167,CG17786
FBgn0038460,CG18622
FBgn0040696,CG18675
FBgn0050460,CG30460
FBgn0051145,CG31145
FBgn0051191,CG31191
FBgn0051323,CG31323
FBgn0051345,CG31345
FBgn0052017,CG32017
FBgn0052206,CG32206
FBgn0052240,CG32240
FBgn0052264,CG32264
FBgn0052333,CG32333
FBgn0052532,CG32532
FBgn0053125,CG33125
FBgn0053129,CG33129
FBgn0053483,CG33483
FBgn0034989,CG3356
FBgn0054027,CG34027
FBgn0054049,CG34049
FBgn0083962,CG34126
FBgn0085192,CG34163
FBgn0250825,CG34241
FBgn0085307,CG34278
FBgn0259145,CG42260
FBgn0259163,CG42268
FBgn0259990,CG42487
FBgn0261801,CG42747
FBgn0261847,CG42779
FBgn0028481,CG4341
FBgn0263706,CG43658
FBgn0263772,CG43689
FBgn0039078,CG4374
FBgn0264339,CG43795
FBgn0264489,CG43897
FBgn0264503,CG43902
FBgn0264605,CG43954
FBgn0038753,CG4459
FBgn0266100,CG44837
FBgn0266439,CG45069
FBgn0267104,CG45544
FBgn0284236,CG46320
FBgn0287599,CG46468
FBgn0025336,CG4882
FBgn0039565,CG4884
FBgn0039010,CG4907
FBgn0038396,CG5013
FBgn0038974,CG5377
FBgn0038951,CG5380
FBgn0032666,CG5758
FBgn0032587,CG5953
FBgn0038332,CG6136
FBgn0038720,CG6231
FBgn0040606,CG6503
FBgn0036402,CG6650
FBgn0038286,CG6966
FBgn0039027,CG7031
FBgn0039728,CG7896
FBgn0039730,CG7903
FBgn0031012,CG8051
FBgn0040837,CG8620
FBgn0033702,CG8854
FBgn0030569,CG9411
FBgn0039759,CG9733
FBgn0039758,CG9737
FBgn0039756,CG9743
FBgn0038160,CG9759
FBgn0036259,CG9760
FBgn0264607,CaMKII
FBgn0037963,Cad87A
FBgn0022800,Cad96Ca
FBgn0039294,Cad96Cb
FBgn0053653,Cadps
FBgn0039928,Cals
FBgn0031148,Cbs
FBgn0038331,Ccm3
FBgn0000280,Cec-Psi1
FBgn0000276,CecA1
FBgn0000277,CecA2
FBgn0000278,CecB
FBgn0035533,Cip4
FBgn0261573,CoRest
FBgn0039054,Cow
FBgn0027873,Cpsf100
FBgn0024811,Crk
FBgn0035205,Ctr9
FBgn0039632,Cul5
FBgn0039617,DIP-gamma
FBgn0011274,Dif
FBgn0000454,Dip-B
FBgn0032363,Dlg5
FBgn0035538,DopEcR
FBgn0005640,Eip63E
FBgn0000567,Eip74EF
FBgn0011589,Elk
FBgn0039225,Ets96B
FBgn0036144,GlcAT-P
FBgn0032135,GlcAT-S
FBgn0046113,GluRIIC
